AAL-KA.D.AAL.CASH.IP,0
ANTO-KA.D.ANTO.CASH.IP,0.43
AUTO-KA.D.AUTOLN.CASH.IP,1.11
BT A-KA.D.BT.CASH.IP,0.2
CCH-KA.D.COCHLN.CASH.IP,0.05
CCL-KA.D.CCLLN.CASH.IP,0.07
CPG-KA.D.CPG.CASH.IP,0.16
EXPN-KA.D.EXPN.CASH.IP,0.49
EZJ-KA.D.EZJ.CASH.IP,0.75
FERG-KA.D.WOS.CASH.IP,0.13
FRES-KA.D.FRES.CASH.IP,0.23
HLMA-KA.D.HLMA.CASH.IP,0.18
IAG-KA.D.BAY.CASH.IP,0.32
ICP-KA.D.ICP.CASH.IP,0.31
III-KA.D.III.CASH.IP,3.44
IMB-KA.D.IMI.CASH.IP,0.23
INF-KA.D.TFILN.CASH.IP,1.51
ITRK-KA.D.ITRK.CASH.IP,1.41
JET-KA.D.JETLN.CASH.IP,3.13
JMAT-KA.D.JMAT.CASH.IP,0.56
LAND-KA.D.LAND.CASH.IP,0.28
MGGT-KA.D.MGGT.CASH.IP,0.28
PHNX-KA.D.PHNXLN.CASH.IP,0.06
PRU-KA.D.PRU.CASH.IP,0.84
PSN-KA.D.PSN.CASH.IP,0.66
RB.-KA.D.RB.CASH.IP,0.59
RIO-KA.D.RIO.CASH.IP,0.27
RR-KA.D.RR.CASH.IP,0.44
RSA-KA.D.RSA.CASH.IP,0.45
RTO-KA.D.RTO.CASH.IP,0.06
SBRY-KA.D.SBRY.CASH.IP,0.41
SLA-KA.D.SLLN.CASH.IP,0.02
SMIN-KA.D.SMIN.CASH.IP,0.07
SMT-KA.D.SMT.CASH.IP,0.27
STAN-KA.D.STAN.CASH.IP,0.32
ULVR-KA.D.ULVR.CASH.IP,0.48
VOD-KA.D.VOD.CASH.IP,1.11
WPP-KA.D.WPP.CASH.IP,0.28
WTB-KA.D.WTB.CASH.IP,0.59
